;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
0;1-2-1911;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.53;0;0;0;686.6;0
1;1-2-1912;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.29999997;0;0;0;66.83;0
2;1-2-1913;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.71;0;0;0;51.76;0
3;1-2-1914;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.40999997;0;0;0;32.97;0
4;1-2-1915;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.00999998;0;0;0;1184.45;0
5;1-2-1916;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.67999998;0;0;0;1272.82;0
6;1-2-1917;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84999998;0;0;0;60.99;0
7;1-2-1918;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.66;0;0;0;916.69;0
8;1-2-1919;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.34999999;0;0;0;815.69;0
9;1-2-1920;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.93;0;0;0;519.91;0
10;1-2-1921;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.98;0;0;0;658.04;0
11;1-2-1922;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.72999998;0;0;0;378.53;0
12;1-2-1923;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.44;0;0;0;433.61;0
13;1-2-1924;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.11;0;0;0;473.79;0
14;1-2-1925;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.52;0;0;0;-0.34;0
15;1-2-1926;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.88;0;0;0;996.17;0
16;1-2-1927;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.31999996;0;0;0;437.59;0
17;1-2-1928;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.03999998;0;0;0;468.52;0
18;1-2-1929;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.51999999;0;0;0;1170.43;0
19;1-2-1930;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.01;0;0;0;1364.88;0
20;1-2-1931;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.35999999;0;0;0;2279.68;0
21;1-2-1932;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.15;0;0;0;188.3;0
22;1-2-1933;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.33;0;0;0;322.05;0
23;1-2-1934;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.06;0;0;0;390.4;0
24;1-2-1935;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.12;0;0;0;0.04;0
25;1-2-1936;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.97999996;0;0;0;450.49;0
