;DATE;Unnamed: 0;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
0;jan-72;5917.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.608666661;0;0;0;347.542;0
1;jan-73;5918.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.638333318;0;0;0;432.0256667;0
2;jan-74;5919.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.616666658;0;0;0;713.259;0
3;jan-75;5920.333333;216;106.0043869;10.38158609;1114551;283600;0;0;0.262666661;0;0;0;1168.310667;0
4;jan-76;5921.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.419999993;0;0;0;693.142;0
5;jan-77;5922.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.750999983;0;0;0;428.61;0
6;jan-78;5923.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.48199999;0;0;0;769.2946667;0
7;jan-79;5924.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.637666659;0;0;0;650.1876667;0
8;jan-80;5925.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.470333326;0;0;0;937.4493333;0
9;jan-81;5926.333333;216;106.0043869;10.38158609;1114551;283600;0;0;0.006666666;0;0;0;1112.072667;0
10;jan-82;5927.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.052333332;0;0;0;1202.68;0
11;jan-83;5928.333333;216;106.0043869;10.38158609;1114551;283600;0;0;0.214333327;0;0;0;865.322;0
12;jan-84;5929.333333;216;106.0043869;10.38158609;1114551;283600;0;0;0.099999998;0;0;0;1000.346333;0
13;jan-85;5930.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.674999982;0;0;0;554.9586667;0
14;jan-86;5931.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.077666661;0;0;0;926.1783333;0
15;jan-87;5932.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.257666667;0;0;0;1355.094333;0
16;jan-88;5933.333333;216;106.0043869;10.38158609;1114551;283600;0;0;0.018666665;0;0;0;931.8513333;0
17;jan-89;5934.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.358666659;0;0;0;739.6236667;0
18;jan-90;5935.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.537333323;0;0;0;478.9156667;0
19;jan-91;5936.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.100333331;0;0;0;1149.146;0
