;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
0;1-2-1911;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.03;0;0;0;661.64;0
1;1-2-1912;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.79999997;0;0;0;73.17;0
2;1-2-1913;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.21;0;0;0;55.81;0
3;1-2-1914;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.90999997;0;0;0;18.86;0
4;1-2-1915;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.51;0;0;0;1298.64;0
5;1-2-1916;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.18;0;0;0;1339.87;0
6;1-2-1917;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.34999996;0;0;0;47.93;0
7;1-2-1918;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.16;0;0;0;1000.03;0
8;1-2-1919;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84999998;0;0;0;835.56;0
9;1-2-1920;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.43;0;0;0;558.69;0
10;1-2-1921;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.47999996;0;0;0;672.87;0
11;1-2-1922;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.23;0;0;0;206.31;0
12;1-2-1923;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.93999995;0;0;0;422.27;0
13;1-2-1924;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.61;0;0;0;507.47;0
14;1-2-1925;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;3.02;0;0;0;-0.34;0
15;1-2-1926;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.38;0;0;0;1051.01;0
16;1-2-1927;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.81999996;0;0;0;482.52;0
17;1-2-1928;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.53999995;0;0;0;489.23;0
18;1-2-1929;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.02;0;0;0;1438.55;0
19;1-2-1930;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.49;0;0;0;1440;0
20;1-2-1931;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.139999994;0;0;0;2436.77;0
21;1-2-1932;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.65;0;0;0;182.64;0
22;1-2-1933;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.82;0;0;0;135.16;0
23;1-2-1934;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.56;0;0;0;539.72;0
24;1-2-1935;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.62;0;0;0;0.04;0
25;1-2-1936;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.48;0;0;0;509.5;0
26;1-2-1937;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.04;0;0;0;358.64;0
27;1-2-1938;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.12;0;0;0;394.49;0
28;1-2-1939;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.44999999;0;0;0;923.84;0
29;1-2-1940;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.84;0;0;0;458.38;0
30;1-2-1941;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58;0;0;0;569.74;0
31;1-2-1942;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.04;0;0;0;548.83;0
32;1-2-1943;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.12;0;0;0;0.23;0
33;1-2-1944;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.88;0;0;0;610.54;0
34;1-2-1945;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.52;0;0;0;21.78;0
35;1-2-1946;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.78999998;0;0;0;505.91;0
36;1-2-1947;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.02;0;0;0;292.38;0
37;1-2-1948;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.54;0;0;0;766.92;0
38;1-2-1949;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.62;0;0;0;388.94;0
39;1-2-1950;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.14;0;0;0;227.04;0
40;1-2-1951;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.53999996;0;0;0;1232.14;0
41;1-2-1952;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.12;0;0;0;243.77;0
42;1-2-1953;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;5.4;0;0;0;1.53;0
43;1-2-1954;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.60999998;0;0;0;181;0
44;1-2-1955;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.02;0;0;0;677.85;0
45;1-2-1956;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.86999998;0;0;0;2200.24;0
46;1-2-1957;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.45999992;0;0;0;158.66;0
47;1-2-1958;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.68;0;0;0;613.43;0
48;1-2-1959;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.33;0;0;0;1777.23;0
49;1-2-1960;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.84999998;0;0;0;1894.22;0
50;1-2-1961;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.78;0;0;0;843.12;0
51;1-2-1962;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.25;0;0;0;1565.59;0
52;1-2-1963;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.08999996;0;0;0;122.03;0
53;1-2-1964;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.55999996;0;0;0;35.47;0
54;1-2-1965;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.97999996;0;0;0;541.1;0
55;1-2-1966;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;1584.98;0
56;1-2-1967;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.78;0;0;0;580.74;0
57;1-2-1968;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.8;0;0;0;1149.21;0
58;1-2-1969;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.85999996;0;0;0;45.74;0
59;1-2-1970;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.449999977;0;0;0;1485.9;0
60;1-2-1971;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.75999996;0;0;0;671.29;0
61;1-2-1972;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48;0;0;0;582.01;0
62;1-2-1973;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.51;0;0;0;338.81;0
63;1-2-1974;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58;0;0;0;842.07;0
64;1-2-1975;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.20999996;0;0;0;1226.94;0
