;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
0;1-2-1911;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.229999994;0;0;0;383.21;0
1;1-2-1912;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.99999998;0;0;0;67.58;0
2;1-2-1913;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.40999997;0;0;0;44.2;0
3;1-2-1914;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.10999996;0;0;0;14.43;0
4;1-2-1915;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.71;0;0;0;1089.92;0
5;1-2-1916;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.38;0;0;0;1157.35;0
6;1-2-1917;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.54999998;0;0;0;81.6;0
7;1-2-1918;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.36;0;0;0;861.07;0
8;1-2-1919;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.05;0;0;0;620.4;0
9;1-2-1920;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.62999996;0;0;0;482.57;0
10;1-2-1921;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.67999998;0;0;0;610.52;0
11;1-2-1922;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.43;0;0;0;484.77;0
12;1-2-1923;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.14;0;0;0;381.47;0
13;1-2-1924;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.80999998;0;0;0;433.92;0
14;1-2-1925;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.22;0;0;0;-0.35;0
15;1-2-1926;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58;0;0;0;906.53;0
16;1-2-1927;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.02;0;0;0;390.59;0
17;1-2-1928;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.73999998;0;0;0;419.8;0
18;1-2-1929;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.84;0;0;0;307.12;0
19;1-2-1930;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.30999999;0;0;0;1281.81;0
20;1-2-1931;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.65999996;0;0;0;2095.71;0
21;1-2-1932;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.84999998;0;0;0;171.49;0
22;1-2-1933;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.02;0;0;0;235.66;0
23;1-2-1934;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.24;0;0;0;426.48;0
24;1-2-1935;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.82;0;0;0;18.11;0
25;1-2-1936;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.68;0;0;0;392.65;0
26;1-2-1937;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.75;0;0;0;527.87;0
27;1-2-1938;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.31999994;0;0;0;305.57;0
28;1-2-1939;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.34;0;0;0;807.52;0
29;1-2-1940;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.64;0;0;0;389.26;0
30;1-2-1941;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.209999994;0;0;0;920.94;0
31;1-2-1942;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.76;0;0;0;404.23;0
32;1-2-1943;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.31999994;0;0;0;0.23;0
33;1-2-1944;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.08;0;0;0;614.7;0
34;1-2-1945;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.74;0;0;0;93.43;0
35;1-2-1946;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0;0;0;0;810.51;0
36;1-2-1947;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.82;0;0;0;240.17;0
37;1-2-1948;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.74;0;0;0;656.14;0
38;1-2-1949;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.179999992;0;0;0;332.33;0
39;1-2-1950;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.65999996;0;0;0;208.52;0
40;1-2-1951;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.26;0;0;0;1098.53;0
41;1-2-1952;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.31999994;0;0;0;201.36;0
42;1-2-1953;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;4.6;0;0;0;1.51;0
43;1-2-1954;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.4;0;0;0;385.61;0
44;1-2-1955;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.22;0;0;0;587;0
45;1-2-1956;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.68999996;0;0;0;1004.48;0
46;1-2-1957;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.65999996;0;0;0;272.86;0
47;1-2-1958;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.12;0;0;0;417.91;0
48;1-2-1959;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.46999999;0;0;0;1597.44;0
49;1-2-1960;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.68;0;0;0;499.45;0
50;1-2-1961;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.01;0;0;0;826.93;0
51;1-2-1962;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.54999998;0;0;0;1340.29;0
52;1-2-1963;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.28999999;0;0;0;196.28;0
53;1-2-1964;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.75999996;0;0;0;228.71;0
54;1-2-1965;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.179999992;0;0;0;406.07;0
55;1-2-1966;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.5;0;0;0;1376.6;0
56;1-2-1967;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.98;0;0;0;498.82;0
57;1-2-1968;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0;0;0;0;1002.32;0
58;1-2-1969;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.06;0;0;0;131.35;0
59;1-2-1970;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.26999998;0;0;0;790.51;0
60;1-2-1971;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.03;0;0;0;812.3;0
61;1-2-1972;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.32;0;0;0;595.63;0
62;1-2-1973;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.28999999;0;0;0;264.44;0
63;1-2-1974;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.229999996;0;0;0;554.44;0
64;1-2-1975;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.40999999;0;0;0;1049.7;0
65;1-2-1976;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.75999996;0;0;0;511.59;0
66;1-2-1977;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.02;0;0;0;743.61;0
67;1-2-1978;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.56;0;0;0;664.85;0
68;1-2-1979;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;534.2;0
69;1-2-1980;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.75999996;0;0;0;321.85;0
70;1-2-1981;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.179999992;0;0;0;584.9;0
71;1-2-1982;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.5;0;0;0;1425.27;0
72;1-2-1983;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.98;0;0;0;493.83;0
73;1-2-1984;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0;0;0;0;896.5;0
74;1-2-1985;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.06;0;0;0;189.13;0
75;1-2-1986;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-1.22999996;0;0;0;2303.64;0
76;1-2-1987;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.04;0;0;0;442.66;0
